School unit name,elementary school cases,middle schools cases,high schools cases,Gender,Reporting date
Crownhardt,68,88,80,F,11/11/2020
Merchant,19,92,7,F,1/4/2021
Sauthoff,35,54,29,M,10/26/2020
Lakewood,98,82,66,M,4/13/2021
Burrows,27,20,2,F,6/3/2021
Declaration,96,45,71,M,10/10/2020
Hintze,16,56,45,M,8/6/2021
Morrow,81,46,57,F,11/9/2020
Cardinal,2,31,41,M,3/5/2021
Eastlawn,31,95,62,F,11/23/2020
Corscot,33,32,52,M,5/27/2021
Spohn,17,51,49,M,8/7/2021
Burrows,43,86,51,F,5/30/2021
Welch,52,92,98,M,9/24/2020
Russell,10,40,23,M,6/5/2021
Grover,17,66,40,M,1/9/2021
Elka,65,67,99,M,3/11/2021
Stang,66,47,15,M,3/7/2021
Evergreen,58,55,20,F,6/12/2021
Scofield,65,54,27,M,12/23/2020
Lakewood,49,79,89,F,3/5/2021
Ridge Oak,29,48,65,M,6/13/2021
Bay,9,26,77,F,6/6/2021
Tony,57,75,96,F,7/18/2021
Michigan,10,50,64,F,8/17/2020
Forster,37,22,73,M,2/23/2021
Heath,39,74,38,M,1/9/2021
8th,60,84,97,M,11/18/2020
Lakewood,88,25,62,M,6/22/2021
Havey,48,93,32,M,3/23/2021
Del Mar,55,32,20,F,7/23/2021
Nobel,81,59,96,F,9/13/2020
Anhalt,82,61,81,F,4/20/2021
Meadow Vale,32,20,41,F,10/28/2020
Norway Maple,22,45,63,M,9/26/2020
Fairfield,61,40,98,M,1/22/2021
Anthes,63,98,45,M,4/1/2021
Manitowish,69,56,76,M,9/2/2020
Eastwood,10,1,86,F,8/30/2020
Bartelt,50,31,19,M,1/20/2021
Green,52,89,6,F,4/18/2021
Merchant,11,67,77,F,12/20/2020
Warbler,19,28,40,M,1/22/2021
Iowa,50,70,44,M,10/6/2020
Bashford,18,80,44,F,12/21/2020
Cambridge,67,26,100,M,11/28/2020
Holy Cross,28,59,26,F,4/17/2021
Autumn Leaf,22,43,57,M,6/26/2021
Di Loreto,88,86,14,F,11/11/2020
Bluestem,9,100,11,M,3/24/2021
Killdeer,83,55,33,F,9/12/2020
Weeping Birch,18,47,78,F,8/13/2021
Tony,85,57,79,F,11/2/2020
Loeprich,86,82,1,F,11/4/2020
Northwestern,68,98,59,M,1/9/2021
Stoughton,30,83,37,F,10/10/2020
Fairfield,81,31,10,M,8/7/2021
Harbort,33,95,57,M,10/14/2020
Independence,38,44,87,F,3/9/2021
Huxley,47,54,40,F,6/18/2021
Claremont,100,54,85,F,5/9/2021
5th,75,80,3,M,2/24/2021
Marquette,62,51,9,M,4/5/2021
Valley Edge,33,73,68,M,11/28/2020
Drewry,33,13,93,M,12/15/2020
Dayton,85,62,94,F,9/4/2020
Veith,61,33,49,M,5/23/2021
Barnett,97,14,9,F,3/2/2021
Hauk,17,75,92,M,8/19/2020
Crest Line,51,63,5,M,1/16/2021
Sugar,8,96,89,F,7/1/2021
Dixon,69,67,53,M,3/7/2021
Dexter,70,39,29,M,5/1/2021
Mitchell,28,38,62,F,10/10/2020
Emmet,48,89,31,F,10/25/2020
Mitchell,85,44,45,F,4/9/2021
Main,32,21,52,M,3/1/2021
Melby,92,58,90,M,7/11/2021
Weeping Birch,53,68,63,M,2/17/2021
Packers,31,4,48,M,10/31/2020
Kensington,56,73,74,M,2/11/2021
Carberry,87,64,41,F,9/28/2020
Merchant,34,77,50,F,10/23/2020
Monterey,6,58,38,M,6/18/2021
Scoville,51,11,36,F,1/26/2021
Magdeline,67,62,92,M,12/10/2020
Loftsgordon,97,61,86,M,8/15/2021
Spaight,97,46,60,M,7/31/2021
Farragut,30,20,29,F,6/25/2021
Hansons,29,23,79,F,9/28/2020
Division,28,46,9,M,4/23/2021
Monterey,12,39,74,M,12/20/2020
Victoria,33,94,3,M,4/30/2021
Upham,6,37,17,F,9/26/2020
4th,26,95,74,F,12/18/2020
Randy,1,94,7,M,8/11/2021
Elka,34,79,14,M,11/30/2020
Merry,42,70,88,F,8/9/2021
Fallview,87,64,33,M,10/6/2020
Jenna,1,25,47,F,7/8/2021
Hanover,68,63,94,F,8/11/2021
5th,90,46,58,M,11/24/2020
Toban,83,76,97,M,11/16/2020
Melody,17,35,89,M,8/10/2021
Warrior,37,88,70,M,5/30/2021
Eliot,95,59,85,M,10/12/2020
Macpherson,57,71,11,M,9/4/2020
Mayfield,91,98,48,M,3/2/2021
Crownhardt,86,63,72,F,1/28/2021
5th,63,52,68,F,11/1/2020
Atwood,11,36,48,M,3/4/2021
Bluestem,87,67,49,M,8/31/2020
Warrior,6,79,39,M,1/13/2021
Oakridge,7,94,79,F,1/11/2021
5th,40,61,64,M,8/31/2020
Ohio,33,72,36,F,3/21/2021
Sunfield,62,31,17,M,9/10/2020
Bunker Hill,86,34,66,M,3/28/2021
Schurz,98,46,73,F,12/10/2020
Harper,82,22,95,M,9/2/2020
Petterle,83,23,31,M,10/8/2020
Coolidge,97,21,47,M,8/8/2021
Jenna,41,14,49,M,2/9/2021
Eliot,82,26,20,F,5/5/2021
Dwight,37,74,87,F,6/16/2021
Burrows,2,15,74,F,12/30/2020
Prairieview,83,44,31,M,11/26/2020
Raven,8,71,52,F,8/8/2021
Granby,57,39,28,M,9/23/2020
Sullivan,32,71,7,F,2/8/2021
Fisk,21,78,57,M,12/16/2020
Shoshone,66,20,98,F,12/31/2020
Sutherland,53,82,44,F,2/23/2021
Susan,26,41,2,M,7/18/2021
Bashford,15,2,81,F,8/31/2020
Union,61,73,49,M,1/30/2021
Stoughton,51,74,47,M,2/13/2021
Merrick,57,44,17,F,11/20/2020
Forest,4,9,97,M,10/28/2020
Anhalt,88,60,23,M,11/13/2020
Milwaukee,40,20,95,M,5/4/2021
Maryland,80,2,77,M,6/18/2021
Oak,3,72,56,F,8/13/2021
Hudson,68,60,41,F,8/17/2020
School,69,77,40,F,12/26/2020
Sundown,73,14,59,F,3/13/2021
Lakewood,5,22,88,M,6/16/2021
Hauk,37,94,42,F,7/18/2021
Valley Edge,85,33,17,F,8/27/2020
John Wall,92,59,71,M,2/3/2021
Mosinee,58,38,1,F,11/12/2020
Fremont,69,43,14,M,2/18/2021
Moulton,76,36,41,M,8/25/2020
Melvin,65,48,27,M,12/20/2020
Hintze,38,2,79,M,9/17/2020
Miller,99,98,55,F,9/1/2020
Calypso,42,76,64,F,10/2/2020
Londonderry,15,74,17,F,8/3/2021
Mariners Cove,30,52,4,M,11/25/2020
Summer Ridge,49,33,68,F,4/26/2021
Clemons,62,85,46,M,6/3/2021
Melby,63,33,43,M,11/30/2020
Hansons,66,44,8,M,7/22/2021
Fair Oaks,67,60,25,M,11/29/2020
Saint Paul,25,34,26,M,1/30/2021
Mosinee,67,7,68,M,10/4/2020
Rieder,48,91,46,F,4/18/2021
Debs,6,14,75,M,10/31/2020
Stephen,75,36,28,M,6/19/2021
Jackson,27,32,78,M,4/17/2021
Briar Crest,36,74,100,M,5/3/2021
Brentwood,99,49,35,F,2/3/2021
Talmadge,22,23,42,F,4/5/2021
Dakota,86,69,70,M,3/12/2021
Barnett,35,89,28,F,8/23/2020
Browning,66,81,48,F,11/25/2020
Lotheville,11,46,7,M,7/12/2021
Comanche,94,15,54,M,6/16/2021
Reinke,14,29,69,M,12/5/2020
Myrtle,65,61,91,M,12/20/2020
Thompson,27,21,94,F,6/11/2021
Golf View,21,82,1,M,8/8/2021
Del Mar,46,6,26,M,6/9/2021
Calypso,11,34,52,M,11/29/2020
Armistice,33,75,59,F,3/21/2021
Bunker Hill,65,31,24,F,1/10/2021
Granby,3,41,93,M,3/24/2021
Jana,33,41,19,F,10/10/2020
Cambridge,47,80,63,M,8/21/2020
Pierstorff,21,69,68,F,1/3/2021
Superior,69,77,22,F,7/31/2021
Norway Maple,51,91,64,M,12/4/2020
Monterey,11,68,93,M,8/28/2020
Tomscot,100,36,28,M,4/2/2021
Erie,47,20,21,M,8/23/2020
Farragut,1,3,53,F,4/12/2021
Butternut,6,87,84,M,2/16/2021
Golf Course,53,91,33,M,9/12/2020
Stuart,67,20,10,F,4/21/2021
Elka,44,27,64,F,6/10/2021
Mockingbird,40,51,40,F,5/3/2021
Nelson,98,7,23,F,6/27/2021
Prairie Rose,91,73,53,F,6/3/2021
Hanson,84,14,29,F,4/24/2021
Steensland,99,42,18,F,11/10/2020
Marcy,26,60,45,F,4/14/2021
Maple Wood,95,92,72,F,12/6/2020
Badeau,7,68,37,M,6/23/2021
Elgar,77,33,24,F,5/2/2021
Summerview,20,36,56,F,6/5/2021
Blackbird,5,10,92,F,3/30/2021
Chinook,19,5,60,M,4/26/2021
Haas,69,98,7,F,2/4/2021
Arapahoe,6,70,72,F,4/9/2021
Alpine,75,63,19,M,1/31/2021
Veith,93,25,12,F,1/29/2021
Nova,8,61,74,M,2/12/2021
Daystar,1,9,63,M,3/23/2021
Grover,32,51,27,M,2/22/2021
Lerdahl,54,92,13,M,11/1/2020
Novick,18,79,90,M,10/4/2020
Karstens,48,8,77,M,12/30/2020
Banding,71,26,15,F,2/19/2021
Delladonna,20,47,45,F,3/22/2021
Sage,98,6,11,F,4/6/2021
Grasskamp,16,55,2,F,11/15/2020
Farmco,84,66,62,M,10/16/2020
Spenser,61,75,78,F,6/23/2021
Superior,20,42,48,F,1/19/2021
Oxford,29,55,17,M,4/29/2021
Sherman,48,6,62,M,3/21/2021
Utah,99,96,61,M,2/9/2021
Alpine,82,15,9,M,10/4/2020
Towne,91,6,62,F,11/4/2020
Myrtle,98,91,64,F,8/27/2020
Onsgard,20,3,55,F,8/26/2020
Lien,33,52,98,F,9/30/2020
Summerview,30,15,68,M,12/23/2020
Goodland,55,2,8,F,12/4/2020
Blackbird,63,31,47,F,4/8/2021
Lakeland,5,87,13,F,10/12/2020
Montana,32,67,98,M,12/30/2020
Cody,90,35,36,M,8/25/2020
Corry,13,85,86,F,10/26/2020
Village,8,9,91,M,10/20/2020
Monument,30,89,79,M,5/18/2021
Sunbrook,18,38,55,F,5/29/2021
Mitchell,72,6,20,M,12/6/2020
Dayton,53,73,58,M,2/1/2021
Laurel,94,81,6,M,8/22/2020
Scott,75,16,68,F,5/16/2021
Roth,1,92,24,F,12/2/2020
Brickson Park,61,70,17,M,4/15/2021
Merrick,62,67,76,M,10/22/2020
Arizona,6,30,30,F,8/21/2020
Bowman,40,67,17,M,10/24/2020
Monument,60,61,58,F,5/24/2021
Mccormick,20,51,9,F,11/15/2020
Lakewood,39,69,59,M,6/8/2021
Sunnyside,58,12,8,F,11/15/2020
Texas,53,52,85,F,7/27/2021
Harper,40,5,36,F,9/14/2020
Gerald,89,77,94,F,1/3/2021
Longview,2,72,99,M,12/19/2020
Sunfield,2,26,93,M,8/23/2020
Bluejay,11,10,73,M,7/19/2021
Dakota,50,27,4,F,1/12/2021
Barby,56,86,83,F,12/29/2020
Old Shore,64,57,90,F,11/15/2020
Orin,58,55,9,F,1/13/2021
Gateway,69,5,67,F,4/7/2021
1st,71,13,76,F,12/20/2020
Oak Valley,81,15,22,M,12/29/2020
Laurel,40,54,56,F,10/19/2020
Heath,39,85,79,M,8/11/2021
Melrose,79,68,73,M,9/3/2020
Nova,52,30,97,F,7/11/2021
Schurz,32,37,71,F,10/15/2020
Kingsford,39,94,38,F,5/1/2021
Quincy,84,12,41,F,7/23/2021
Buell,33,73,3,M,6/6/2021
Lakewood Gardens,58,100,66,M,3/25/2021
Kropf,66,59,28,F,4/3/2021
Straubel,69,36,39,M,4/19/2021
Lakeland,29,64,100,F,4/10/2021
Fuller,73,1,49,M,2/6/2021
2nd,100,63,34,M,12/2/2020
Dorton,27,30,61,M,12/17/2020
Superior,98,15,48,M,7/9/2021
Johnson,9,42,95,F,9/22/2020
Sachtjen,50,31,2,F,1/23/2021
Corry,62,9,20,F,7/23/2021
Namekagon,83,50,24,M,7/1/2021
Redwing,79,44,2,M,12/19/2020
Huxley,91,90,11,F,2/17/2021
Carberry,44,2,9,M,11/7/2020
Holy Cross,29,52,22,F,11/16/2020
Mccormick,22,100,75,M,8/22/2020
Kinsman,71,90,94,F,4/23/2021
Chinook,89,27,40,M,9/30/2020
7th,4,26,81,F,9/26/2020
Burning Wood,63,42,48,F,9/16/2020
Northridge,90,58,20,M,12/25/2020
Haas,56,77,54,F,2/8/2021
Little Fleur,45,68,98,F,1/28/2021
Jackson,53,81,71,M,4/12/2021
Montana,45,57,11,M,4/8/2021
Gina,49,57,76,M,1/3/2021
Chive,30,81,42,F,9/24/2020
Mayfield,13,81,62,F,7/2/2021
Leroy,33,50,41,M,8/30/2020
Springview,62,88,16,F,5/5/2021
Fairview,44,5,70,M,3/27/2021
Forster,9,23,24,F,7/9/2021
Mallory,41,76,59,M,11/11/2020
Vernon,51,43,55,F,7/27/2021
3rd,55,21,35,M,5/15/2021
Springs,53,45,79,F,8/30/2020
Morning,92,96,52,M,3/25/2021
Dakota,18,35,69,F,2/13/2021
Erie,98,45,1,F,2/14/2021
Blue Bill Park,19,18,9,F,1/29/2021
Cambridge,94,66,67,M,8/13/2021
Oxford,20,59,50,F,7/14/2021
Mcbride,73,29,12,F,8/4/2021
Esker,98,47,24,F,10/30/2020
Montana,92,51,65,F,10/23/2020
Eastwood,84,53,99,F,6/22/2021
Susan,54,67,15,M,8/19/2020
Knutson,29,86,84,M,2/2/2021
Moland,15,59,94,F,5/17/2021
Rusk,16,97,1,F,5/12/2021
Sloan,88,15,60,M,12/1/2020
Bluejay,93,3,67,F,11/16/2020
Caliangt,31,77,2,M,11/27/2020
Sloan,72,84,67,F,9/12/2020
Welch,93,21,66,F,7/25/2021
Carioca,68,49,32,F,12/3/2020
Ronald Regan,29,32,20,M,11/8/2020
Talmadge,29,76,11,F,8/20/2020
Oak Valley,69,22,36,F,11/5/2020
Hovde,14,55,10,M,3/13/2021
Old Gate,3,30,48,F,8/27/2020
Prairie Rose,84,9,92,M,1/15/2021
Jackson,63,35,59,F,5/31/2021
Troy,82,85,96,M,4/9/2021
Forest Run,15,21,62,F,10/4/2020
Monterey,25,69,29,F,11/6/2020
Anthes,42,98,29,M,10/20/2020
2nd,47,27,7,F,1/14/2021
Wayridge,99,66,74,M,9/1/2020
Lakewood Gardens,89,7,24,M,11/23/2020
Charing Cross,85,75,49,F,11/8/2020
1st,90,38,50,F,7/19/2021
Loomis,29,2,93,F,1/28/2021
Cascade,25,59,42,M,1/26/2021
Holmberg,8,100,51,F,9/10/2020
Hollow Ridge,92,43,75,M,9/13/2020
Anniversary,31,33,43,M,3/20/2021
Cordelia,49,91,63,F,2/8/2021
Ohio,48,35,49,F,6/29/2021
Mandrake,37,75,11,F,12/11/2020
Coolidge,73,54,11,F,1/6/2021
Myrtle,38,23,26,M,2/9/2021
Westridge,19,56,72,M,12/24/2020
Portage,4,7,90,F,9/27/2020
Vidon,81,6,36,F,12/16/2020
Erie,59,49,64,M,1/20/2021
Fisk,9,18,70,M,9/30/2020
John Wall,39,54,17,F,10/7/2020
Goodland,60,99,74,F,6/17/2021
Almo,16,48,57,M,6/26/2021
Forest,92,13,68,F,7/9/2021
Moulton,56,47,65,M,1/21/2021
Corben,76,20,84,M,9/27/2020
Atwood,100,59,77,F,6/16/2021
Bunting,52,80,60,M,3/26/2021
Rockefeller,14,2,13,F,12/3/2020
Sycamore,61,81,96,M,11/9/2020
Miller,51,22,45,F,6/15/2021
Cordelia,93,59,42,F,8/6/2021
Becker,13,95,4,M,9/5/2020
Memorial,75,26,58,F,5/13/2021
Schurz,14,56,21,M,12/18/2020
Thackeray,52,61,88,M,8/14/2021
Kings,38,16,69,M,4/29/2021
Stone Corner,68,50,12,M,10/7/2020
East,26,80,30,M,8/29/2020
Evergreen,44,63,30,M,10/5/2020
Gateway,42,14,91,F,2/28/2021
Mockingbird,86,35,74,M,12/16/2020
Anthes,98,40,52,F,11/27/2020
Delladonna,57,60,41,M,6/18/2021
Monument,41,45,11,M,7/15/2021
