School unit name,elementary school cases,middle schools cases,high schools cases,Gender,Reporting date
2nd,47,13,45,M,10/17/2020
Spohn,85,47,89,F,6/21/2020
Wayridge,66,67,2,F,7/26/2020
Northwestern,100,59,72,F,2/6/2021
Kim,69,20,64,M,1/6/2021
Loomis,58,25,30,M,6/19/2020
Granby,33,81,87,M,8/11/2020
Pleasure,52,45,62,M,1/25/2021
Goodland,76,82,10,F,7/10/2020
Ilene,69,89,71,F,12/25/2020
Clemons,78,10,40,F,8/23/2020
Northland,30,14,92,F,8/16/2020
Emmet,31,15,34,F,5/4/2021
Vidon,82,35,99,F,7/6/2020
Vera,23,52,81,M,7/29/2020
Schurz,35,48,89,M,8/27/2020
Sundown,89,76,77,M,5/31/2020
Alpine,31,5,10,M,12/30/2020
Sundown,89,14,8,F,6/10/2020
Carpenter,93,18,9,M,5/30/2020
Hanover,63,10,67,M,1/18/2021
Kropf,76,87,2,F,7/4/2021
Boyd,61,66,27,F,3/30/2020
Westport,71,30,58,F,1/20/2021
Debs,82,83,32,F,5/3/2020
Esch,48,19,78,F,5/27/2021
Lien,7,18,2,F,12/12/2020
Chive,16,16,2,M,4/12/2020
Comanche,86,47,38,M,4/16/2020
Village,73,35,74,F,2/26/2021
2nd,86,7,39,F,3/18/2021
Harbort,3,29,92,F,11/3/2020
Becker,2,60,3,F,4/3/2020
Rockefeller,76,50,87,F,7/13/2020
International,92,79,14,F,4/28/2020
Dahle,63,3,65,M,8/10/2020
Clarendon,65,23,76,M,10/3/2020
Hanson,25,55,59,F,1/6/2021
Maryland,18,94,2,M,2/26/2021
Lunder,44,16,24,M,11/28/2020
Oak Valley,50,75,79,F,3/3/2021
Melvin,32,5,79,M,4/7/2021
Prairie Rose,68,65,86,M,10/13/2020
Grayhawk,67,63,34,F,1/20/2021
Warrior,87,17,20,F,3/23/2020
Union,24,5,3,M,1/22/2021
Welch,55,83,45,M,7/15/2020
Dexter,12,90,21,F,6/25/2021
Lawn,89,44,40,F,4/25/2021
Linden,21,72,27,M,2/28/2021
Burning Wood,64,48,41,M,2/23/2021
Kim,43,73,92,F,2/1/2021
Waywood,14,26,5,F,5/31/2021
Lakeland,14,97,60,M,6/10/2020
Fair Oaks,80,82,86,M,6/11/2020
Stephen,12,91,6,M,9/25/2020
Bunker Hill,26,38,32,M,7/17/2020
Southridge,51,30,39,M,6/7/2020
Hintze,93,3,29,M,3/12/2021
Thierer,54,35,40,F,1/27/2021
Lake View,90,44,21,M,11/15/2020
La Follette,4,12,61,F,11/12/2020
Quincy,60,62,48,M,6/14/2020
Superior,19,67,71,M,1/23/2021
Becker,81,21,9,F,6/17/2021
Sommers,45,57,58,M,4/2/2021
Hintze,3,28,84,F,6/3/2021
Hauk,96,12,45,F,5/27/2020
Waxwing,72,1,84,M,11/13/2020
Bonner,32,3,2,M,10/27/2020
Mariners Cove,41,58,15,F,8/4/2020
Londonderry,96,65,66,M,2/16/2021
Gulseth,31,28,17,F,2/19/2021
3rd,97,74,100,F,8/27/2020
Namekagon,58,24,94,F,4/27/2021
Schlimgen,44,12,78,M,4/7/2021
Loomis,94,43,2,M,4/15/2020
3rd,14,4,92,M,2/8/2021
Moland,45,12,77,M,1/22/2021
Merry,10,82,69,M,3/21/2021
Holmberg,18,88,65,M,5/19/2021
Bunting,63,24,27,M,6/1/2020
Kipling,9,37,51,M,2/3/2021
Express,22,38,55,M,5/26/2021
Fisk,83,99,60,F,7/6/2021
American,56,44,66,F,7/27/2020
Upham,76,5,53,F,12/18/2020
Fieldstone,7,89,5,F,8/10/2020
Lukken,36,34,60,F,6/7/2020
Lakeland,89,88,58,F,3/25/2021
Macpherson,53,85,15,F,8/28/2020
Grasskamp,96,58,56,M,4/20/2020
Tomscot,33,89,24,F,3/23/2020
Lotheville,51,9,36,M,5/25/2020
Karstens,53,51,31,M,8/27/2020
Springview,48,15,69,M,12/2/2020
Kipling,37,73,40,F,4/25/2021
Northview,70,63,76,M,7/25/2020
Fremont,30,45,99,M,5/18/2020
Bluejay,29,48,75,F,5/8/2020
Saint Paul,71,29,18,M,2/24/2021
Nobel,75,81,57,M,11/17/2020
Heffernan,36,47,12,F,10/14/2020
Del Mar,28,14,77,F,6/28/2021
Sommers,45,8,29,F,8/14/2020
Steensland,60,20,1,F,5/11/2021
Brickson Park,68,66,63,F,3/18/2021
Forster,1,96,90,F,5/23/2021
Lawn,47,38,87,F,2/20/2021
Sachs,67,6,41,M,4/14/2020
Florence,52,49,87,F,5/15/2021
Little Fleur,47,33,6,F,11/8/2020
Saint Paul,27,47,93,F,5/28/2020
Reinke,16,97,66,M,4/17/2021
Northwestern,10,50,34,M,10/1/2020
Susan,18,17,12,M,10/22/2020
Rigney,17,48,60,M,4/10/2021
Esker,68,19,44,F,9/19/2020
Mifflin,59,96,38,F,11/19/2020
Scofield,23,62,37,M,10/12/2020
American Ash,30,81,11,M,9/24/2020
7th,37,86,25,M,3/16/2021
Kingsford,14,58,38,M,9/9/2020
Springview,34,40,79,F,10/13/2020
Blackbird,75,21,34,F,9/13/2020
Montana,48,6,7,F,12/14/2020
La Follette,34,48,27,M,8/3/2020
John Wall,57,33,90,M,12/4/2020
Northfield,19,66,68,F,8/10/2020
Grayhawk,62,71,95,F,8/5/2020
Jenifer,86,15,26,F,11/20/2020
Elka,62,25,6,M,2/2/2021
Sundown,76,59,62,F,7/24/2020
Weeping Birch,20,73,60,F,4/26/2021
Grim,94,76,14,F,4/23/2021
Brown,88,72,5,M,12/4/2020
Hallows,66,41,22,F,3/11/2021
Katie,14,61,70,F,5/21/2020
Jenna,35,59,82,F,6/2/2020
Utah,32,11,46,F,11/18/2020
Montana,13,44,68,M,1/18/2021
Ridgeway,9,1,25,M,2/18/2021
Mccormick,2,68,38,M,12/31/2020
Melrose,42,27,78,F,6/21/2021
Charing Cross,11,6,16,F,2/24/2021
Quincy,46,79,73,F,12/24/2020
Oak Valley,12,36,46,M,5/19/2020
Declaration,84,89,5,F,12/5/2020
Lotheville,55,46,33,M,5/19/2021
Roxbury,6,5,67,M,2/24/2021
Laurel,93,87,72,M,7/16/2021
Clemons,96,86,57,F,2/25/2021
Muir,69,5,91,M,5/23/2020
Stuart,85,72,60,F,5/10/2021
Ohio,22,1,16,M,2/15/2021
Summerview,69,52,28,M,5/21/2020
Continental,89,12,33,M,3/26/2020
Donald,85,17,11,F,2/22/2021
Eastlawn,61,54,29,M,11/13/2020
Lukken,67,56,90,M,7/11/2020
Comanche,31,38,40,M,8/14/2020
La Follette,98,87,42,M,12/6/2020
Holy Cross,11,37,89,M,5/19/2020
Oakridge,40,48,59,M,2/17/2021
Iowa,30,17,68,F,5/1/2020
Iowa,38,35,10,M,7/12/2020
Dexter,72,16,96,F,3/24/2021
Continental,96,19,39,M,12/14/2020
Westerfield,95,72,8,M,12/24/2020
Ramsey,72,49,57,F,9/3/2020
Coolidge,33,41,21,F,3/26/2020
Anhalt,81,75,6,M,1/15/2021
Morrow,42,1,39,F,10/9/2020
Ryan,54,16,2,F,11/2/2020
Crest Line,10,82,23,M,3/8/2021
Eastlawn,40,24,26,M,2/23/2021
Kingsford,89,86,37,M,5/10/2021
Katie,73,15,5,F,7/3/2020
Darwin,59,21,67,F,12/6/2020
Meadow Ridge,68,56,73,F,1/15/2021
Oak Valley,4,91,15,F,5/29/2021
Sunbrook,26,50,69,M,7/13/2020
Straubel,58,26,26,M,2/10/2021
Fairfield,74,51,32,M,5/2/2021
Ryan,46,57,37,F,12/5/2020
Memorial,88,2,72,M,11/10/2020
Cardinal,17,5,78,M,2/14/2021
School,27,54,87,F,10/23/2020
Eastlawn,75,75,32,M,4/8/2021
Northridge,25,19,48,M,2/17/2021
Barby,12,20,85,M,3/13/2021
Independence,98,86,69,M,5/9/2020
Monterey,93,94,69,F,10/15/2020
Bowman,47,50,71,F,1/26/2021
School,79,32,2,M,5/7/2021
Butterfield,64,64,36,M,6/25/2020
Derek,83,48,27,F,8/7/2020
Dovetail,39,68,89,M,1/3/2021
Dryden,60,97,24,F,12/21/2020
Maywood,96,89,44,F,2/4/2021
Hollow Ridge,48,70,26,M,2/24/2021
Bobwhite,12,5,2,M,10/8/2020
Monument,8,62,94,F,5/23/2021
Loftsgordon,95,79,43,F,10/19/2020
Hansons,9,69,29,F,10/6/2020
Sunbrook,5,19,83,M,2/10/2021
Glendale,30,81,5,M,4/13/2020
Elka,3,47,30,F,3/6/2021
Pleasure,1,11,94,M,4/23/2020
Clarendon,78,57,45,M,1/9/2021
Armistice,71,15,20,F,6/11/2020
Esker,61,51,25,F,11/3/2020
Springview,55,1,44,M,9/30/2020
Fuller,62,49,99,M,6/5/2021
Becker,66,23,27,M,10/17/2020
Tennessee,18,83,16,M,9/14/2020
Beilfuss,83,97,57,F,8/7/2020
Blaine,81,55,85,F,5/3/2021
Anzinger,46,63,46,M,6/9/2021
Northland,23,36,8,F,3/24/2021
Dayton,69,28,52,F,12/5/2020
Surrey,60,77,31,F,1/31/2021
Pankratz,38,90,29,M,4/5/2021
Crest Line,77,9,15,M,9/6/2020
Fairfield,49,88,82,F,3/5/2021
Forest Run,48,88,78,F,1/15/2021
Spaight,78,73,51,M,10/26/2020
Swallow,10,40,50,M,11/4/2020
Vidon,32,26,17,M,6/30/2021
Shopko,88,74,14,F,7/17/2021
Daystar,38,61,29,M,9/28/2020
Fairfield,89,66,8,M,12/4/2020
Mifflin,87,46,75,F,6/3/2020
Sunnyside,100,42,97,M,6/22/2020
Mosinee,56,39,84,M,12/14/2020
Karstens,1,50,23,F,1/28/2021
Lindbergh,61,97,90,M,4/12/2020
Farwell,84,67,88,F,1/5/2021
Surrey,64,59,30,M,3/28/2021
Prentice,56,28,67,M,4/25/2020
Birchwood,26,10,19,F,10/8/2020
Forster,89,39,86,M,8/12/2020
Lakewood Gardens,22,60,89,M,7/15/2020
Del Sol,89,42,51,F,3/12/2021
Cherokee,73,61,79,M,4/9/2020
Division,24,3,97,F,12/22/2020
Moulton,86,32,22,M,10/1/2020
Commercial,76,54,88,F,7/22/2020
Anniversary,74,23,85,M,8/10/2020
Namekagon,69,50,42,F,4/29/2020
Vidon,43,24,12,F,3/10/2021
Charing Cross,32,1,95,M,2/24/2021
Tennyson,77,52,24,F,10/27/2020
Holy Cross,27,51,5,F,7/13/2021
Blue Bill Park,53,85,60,F,12/28/2020
Magdeline,13,93,39,M,11/12/2020
Starling,56,29,76,F,8/10/2020
Raven,94,35,94,F,5/24/2020
Milwaukee,51,40,95,F,9/4/2020
Cordelia,97,15,57,F,10/27/2020
Clarendon,99,44,59,M,5/30/2021
Mitchell,90,14,24,M,5/12/2020
Nova,74,60,98,M,4/17/2021
Lakewood,4,43,56,F,6/19/2021
Meadow Vale,72,5,59,F,5/4/2020
Sundown,11,49,41,F,5/12/2020
Haas,14,99,58,M,6/13/2020
International,18,52,60,F,9/27/2020
Milwaukee,98,91,46,F,5/30/2020
Thackeray,51,63,5,F,1/31/2021
Longview,29,96,96,F,6/26/2020
Dennis,8,64,23,F,8/17/2020
Twin Pines,9,14,60,M,3/21/2021
Gale,82,94,32,M,3/13/2021
Kim,31,87,9,F,7/14/2020
Straubel,76,97,62,M,4/6/2021
Declaration,66,1,84,F,1/15/2021
Tony,4,75,87,F,12/3/2020
Debra,43,69,13,F,12/14/2020
Manufacturers,89,51,96,F,1/12/2021
Gina,57,13,81,M,3/18/2021
Menomonie,27,76,68,M,10/2/2020
Dapin,25,29,25,M,12/12/2020
Cascade,99,96,99,F,9/2/2020
Lakewood,86,32,83,F,9/26/2020
Merchant,19,89,64,F,5/21/2021
Talisman,1,13,22,F,1/23/2021
Lerdahl,81,100,99,F,1/16/2021
Gerald,51,4,76,F,6/24/2020
Melody,1,72,25,M,11/1/2020
Kennedy,62,91,14,M,3/28/2020
Washington,56,20,61,M,6/27/2021
Browning,98,28,94,M,7/8/2020
6th,56,36,89,F,1/28/2021
Hauk,52,57,76,M,9/22/2020
East,1,17,48,M,4/15/2021
Eggendart,85,26,15,F,6/28/2020
Crowley,14,78,72,F,3/24/2020
Manitowish,91,86,69,M,8/22/2020
Waxwing,68,49,14,F,10/7/2020
Clyde Gallagher,69,94,94,F,6/15/2020
Grayhawk,81,41,62,M,4/22/2021
2nd,54,74,4,F,4/6/2021
Northview,36,96,2,F,11/13/2020
Cherokee,48,31,43,M,8/29/2020
Grayhawk,14,6,94,M,5/22/2021
Schurz,64,10,44,F,5/8/2021
Bunker Hill,94,14,23,F,12/25/2020
Butternut,16,72,72,M,5/15/2020
Jackson,68,4,22,F,11/25/2020
Fisk,94,50,25,F,9/20/2020
Bay,36,88,19,M,7/19/2021
Blaine,60,52,100,F,4/25/2021
Jana,80,41,6,M,7/10/2021
Sutherland,26,86,70,F,4/7/2020
Basil,22,45,72,M,5/13/2020
Montana,29,35,29,F,6/15/2020
Corscot,97,60,39,M,8/27/2020
Artisan,31,34,37,M,3/17/2021
Banding,79,68,1,M,7/28/2020
Farmco,29,36,94,F,7/25/2020
Burning Wood,97,43,76,F,7/13/2020
Warrior,60,24,68,F,1/8/2021
Sundown,58,87,20,M,1/3/2021
Forest Dale,61,47,11,F,12/15/2020
Summit,100,1,86,M,9/5/2020
Memorial,60,84,1,M,10/3/2020
Carey,81,63,59,F,5/10/2020
Truax,73,54,11,M,12/23/2020
Southridge,60,69,19,M,8/20/2020
Northwestern,72,76,18,F,6/24/2021
Anthes,38,95,43,F,10/16/2020
Harper,99,51,65,F,5/4/2020
Morning,88,73,2,M,5/29/2021
Karstens,2,52,44,F,2/28/2021
Kingsford,82,92,45,M,3/11/2021
Sunbrook,50,43,47,F,12/29/2020
Mallard,93,62,97,M,5/17/2021
Jenifer,11,60,63,F,4/10/2021
Westend,5,90,13,F,7/6/2021
Old Shore,54,67,39,F,7/3/2021
Prentice,14,8,27,F,10/1/2020
Fair Oaks,89,71,46,F,7/12/2021
Bonner,91,45,69,M,11/17/2020
Caliangt,74,83,98,M,11/5/2020
Reindahl,86,100,2,F,9/3/2020
Main,37,17,59,F,4/5/2021
4th,84,99,27,M,6/26/2021
Buell,24,70,47,M,7/10/2021
Knutson,37,78,41,M,3/5/2021
Lyons,86,14,79,M,9/3/2020
Dixon,99,48,74,M,6/28/2020
Darwin,86,66,72,M,10/5/2020
Northport,51,90,39,F,3/24/2020
Oakridge,91,37,14,M,11/28/2020
Manley,70,64,41,F,5/13/2020
Wayridge,60,93,1,M,9/20/2020
Harbort,1,90,6,F,3/20/2021
Forster,11,30,37,F,3/21/2021
Memorial,90,37,56,F,5/19/2020
Jay,57,59,58,F,4/21/2020
Morningstar,34,85,94,M,1/15/2021
Laurel,3,58,80,F,10/22/2020
Milwaukee,40,66,59,F,6/15/2020
Stephen,44,85,7,F,10/21/2020
Barnett,54,94,87,F,10/4/2020
Schmedeman,85,35,64,M,4/9/2020
Continental,90,73,73,M,7/18/2021
Grasskamp,38,81,23,F,1/19/2021
Pierstorff,29,39,3,M,10/4/2020
Marquette,15,4,52,F,6/11/2020
Prairie Rose,64,90,26,M,9/20/2020
Magdeline,73,29,96,F,2/24/2021
Cherokee,98,64,13,F,7/3/2020
Almo,29,47,58,F,1/27/2021
Fuller,30,46,64,F,11/3/2020
Macpherson,93,16,7,M,11/24/2020
Warbler,96,76,16,M,12/24/2020
Oakridge,54,24,74,M,6/27/2021
Clemons,29,96,63,F,3/14/2021
Grasskamp,6,28,60,F,11/22/2020
Nancy,15,71,68,F,11/4/2020
Anderson,89,72,89,F,2/19/2021
Amoth,86,26,32,M,2/8/2021
Crowley,46,24,71,F,2/8/2021
Erie,54,51,47,F,5/20/2020
Main,78,94,88,M,6/15/2021
Schlimgen,87,79,25,F,5/14/2020
Buell,87,40,42,M,5/12/2020
North,79,93,51,M,5/5/2021
Northport,38,69,84,M,3/27/2021
Larry,54,30,60,M,6/20/2021
Elka,98,19,40,F,2/15/2021
Stoughton,61,28,54,M,10/8/2020
Erie,70,20,21,M,7/15/2021
Schurz,51,11,16,F,7/13/2020
Hansons,8,84,85,M,6/5/2021
Meadow Valley,48,2,5,M,7/4/2021
Atwood,34,57,72,M,3/22/2020
Dapin,1,28,54,F,6/18/2021
Corscot,96,65,82,F,7/26/2020
Rusk,15,76,12,M,8/16/2020
Thackeray,10,66,49,M,4/16/2020
Lien,8,43,89,F,10/9/2020
Burning Wood,66,94,78,M,10/10/2020
East,63,95,61,F,9/27/2020
Dakota,25,44,10,M,6/23/2020
Harper,10,4,39,F,1/11/2021
Logan,48,65,4,M,4/5/2021
Warrior,70,80,30,F,12/21/2020
Oriole,66,21,64,F,4/15/2020
Clove,10,50,85,M,4/25/2020
Bobwhite,7,22,66,M,7/24/2020
Dahle,86,91,8,M,10/24/2020
Scott,48,13,99,M,4/7/2021
Redwing,70,81,66,F,6/20/2020
Anhalt,83,73,64,F,12/15/2020
Carpenter,40,41,95,M,4/7/2020
Village,63,99,91,M,7/23/2020
Oriole,37,12,82,M,4/30/2021
Bunker Hill,97,63,29,F,4/9/2020
Golf View,60,8,80,M,6/4/2021
Service,81,32,78,M,5/11/2020
Green Ridge,58,44,86,F,1/5/2021
Golden Leaf,37,91,38,M,4/3/2021
Lerdahl,90,18,37,M,8/31/2020
1st,53,19,97,F,9/29/2020
Golf View,74,25,41,M,7/20/2020
Service,71,16,1,F,3/5/2021
7th,52,25,20,M,5/20/2021
Karstens,52,73,40,F,10/18/2020
Pennsylvania,96,17,66,F,9/17/2020
Summer Ridge,47,94,17,M,4/25/2021
Evergreen,66,35,29,F,7/6/2020
Delaware,45,9,38,M,8/15/2020
Sutherland,30,42,37,F,4/21/2021
Messerschmidt,29,10,98,F,7/19/2021
Hazelcrest,39,45,16,F,7/26/2020
Kim,85,26,7,M,6/12/2020
Derek,5,42,43,M,11/9/2020
Thompson,93,10,29,M,8/2/2020
Linden,62,48,78,F,6/15/2021
Farragut,94,40,59,F,11/22/2020
Redwing,37,51,100,M,5/13/2020
Declaration,75,36,10,M,6/17/2021
Quincy,36,99,46,M,6/19/2021
Colorado,4,12,7,M,6/28/2020
Manley,11,99,11,F,1/22/2021
Pepper Wood,83,73,1,F,1/18/2021
American,24,63,15,F,5/3/2020
American,63,75,40,F,10/14/2020
Fordem,40,88,27,M,3/27/2020
Eagle Crest,39,42,31,M,3/8/2021
Hovde,1,51,56,F,7/16/2021
Clyde Gallagher,81,96,24,M,12/20/2020
Mockingbird,57,45,50,M,4/13/2020
Sommers,36,85,93,F,10/30/2020
Mosinee,45,33,48,M,9/8/2020
Acker,91,4,7,F,6/20/2020
Myrtle,11,45,62,M,4/7/2020
Algoma,62,70,63,M,6/30/2020
Dakota,16,1,19,F,4/30/2020
Hudson,44,61,86,M,11/10/2020
Talisman,79,1,48,M,7/1/2021
Sachtjen,98,15,32,M,2/21/2021
Stang,26,95,63,M,7/19/2020
International,27,4,5,F,3/18/2021
Huxley,84,48,96,F,7/29/2020
Summerview,51,9,85,F,9/2/2020
Redwing,59,68,46,F,9/25/2020
Glacier Hill,60,55,51,M,4/26/2020
Kensington,35,55,29,M,8/23/2020
Hermina,71,30,60,F,12/26/2020
Kensington,84,27,21,F,11/24/2020
Stang,100,18,96,F,7/31/2020
Independence,39,73,38,F,3/25/2020
Havey,91,82,38,M,6/12/2021
Towne,77,11,26,F,6/17/2020
Macpherson,46,7,41,M,11/13/2020
Hauk,49,8,11,M,6/28/2021
Grasskamp,93,19,59,M,8/31/2020
Northfield,26,69,61,F,3/31/2021
Fairview,18,15,64,F,11/6/2020
Schmedeman,31,6,96,F,5/4/2021
Mitchell,37,92,93,M,4/10/2020
Welch,1,28,2,F,12/9/2020
Roxbury,73,71,86,M,12/20/2020
Macpherson,42,50,26,M,3/25/2020
Gina,84,1,99,M,2/3/2021
Carberry,41,55,81,M,9/30/2020
Sherman,44,7,85,F,7/12/2020
Lotheville,99,45,79,M,1/7/2021
Mcbride,21,64,9,M,7/10/2020
Manley,74,16,58,M,8/16/2020
Mcguire,62,70,77,M,10/10/2020
Hoepker,29,75,21,M,5/2/2020
Meadow Vale,25,61,34,F,6/24/2020
Jackson,59,72,68,M,4/24/2020
Algoma,70,100,4,F,3/14/2021
Florence,20,32,53,F,4/19/2021
Barnett,42,86,48,F,11/10/2020
Bluestem,11,75,76,M,4/29/2021
Duke,52,92,7,M,12/7/2020
Oneill,28,55,54,M,5/11/2020
Manufacturers,57,17,13,M,4/10/2020
Mcbride,2,89,57,M,1/11/2021
Elgar,35,79,14,F,1/28/2021
Hintze,67,51,6,F,9/26/2020
Southridge,59,87,66,M,8/5/2020
Old Gate,7,23,38,F,7/2/2020
Pawling,37,51,4,M,6/22/2020
Mosinee,17,22,19,M,6/8/2021
Rutledge,74,65,95,F,4/24/2020
Bunker Hill,9,55,59,F,5/24/2021
Comanche,39,74,37,F,6/7/2020
Hanson,13,75,60,M,5/29/2021
Gerald,55,59,36,M,2/14/2021
Reindahl,63,69,19,M,9/28/2020
Welch,86,6,40,F,6/29/2021
Darwin,56,26,23,M,12/22/2020
Eliot,76,67,53,F,11/13/2020
Lakewood Gardens,9,39,48,M,7/14/2021
Sutteridge,92,97,9,M,7/1/2021
Old Gate,72,41,16,M,3/27/2021
Barnett,10,45,16,F,7/24/2020
Leroy,14,51,4,F,9/3/2020
Garrison,11,99,3,F,11/1/2020
Myrtle,15,47,55,M,6/30/2020
Arrowood,57,56,21,F,5/28/2021
Express,8,23,26,F,2/10/2021
Butterfield,98,77,79,F,4/13/2020
Marquette,65,61,47,M,6/6/2020
Crescent Oaks,68,64,92,M,5/8/2021
Straubel,71,84,88,F,6/5/2021
Lighthouse Bay,72,74,3,M,1/22/2021
Jenna,32,66,96,M,5/20/2020
Golf View,51,33,89,M,5/30/2021
Crescent Oaks,24,94,93,F,5/14/2021
Muir,62,99,41,F,7/5/2021
Sutteridge,53,42,23,F,1/13/2021
South,10,87,54,F,12/15/2020
Jana,62,37,67,M,2/14/2021
North,88,71,87,F,2/18/2021
Old Shore,11,78,18,M,4/10/2020
Arapahoe,79,94,99,F,1/3/2021
Killdeer,34,92,80,F,12/14/2020
Lien,63,17,75,M,4/9/2020
Northfield,58,45,43,F,8/26/2020
Reindahl,40,35,86,F,9/18/2020
Sutteridge,36,80,41,F,10/28/2020
Welch,86,69,20,F,2/15/2021
Eagan,23,14,10,F,5/28/2020
Kipling,93,41,31,M,1/29/2021
Cody,17,88,68,M,6/28/2020
La Follette,68,77,82,M,7/15/2021
Sunnyside,97,63,53,M,7/14/2021
Jackson,98,52,32,F,5/20/2021
Shoshone,98,76,12,F,6/10/2020
Lukken,89,98,74,F,4/1/2020
Calypso,8,18,63,F,2/11/2021
Mayfield,34,78,3,F,7/18/2021
Browning,71,71,87,F,4/15/2021
Ridgeway,69,28,11,F,5/8/2020
Oneill,100,22,10,F,6/27/2021
Judy,19,24,1,F,8/17/2020
Vahlen,24,16,3,M,6/22/2021
Merrick,52,74,55,F,7/18/2021
7th,93,39,19,M,11/22/2020
Pond,9,41,57,M,5/1/2021
Hollow Ridge,38,23,83,F,5/1/2021
Erie,60,96,87,F,1/18/2021
Esch,13,72,59,M,2/27/2021
Logan,3,6,32,M,6/12/2020
Northview,28,3,39,F,10/30/2020
Mesta,35,35,27,F,4/10/2020
Schmedeman,76,25,55,M,11/30/2020
Anniversary,69,40,34,F,4/5/2021
High Crossing,73,58,20,M,11/5/2020
Iowa,66,50,39,F,6/10/2020
Mifflin,50,80,27,F,7/28/2020
Northridge,34,94,18,M,1/4/2021
International,24,17,14,F,6/18/2020
Melvin,16,80,98,M,5/21/2021
Forest Dale,15,40,70,M,5/12/2021
Weeping Birch,25,21,100,F,6/5/2020
Hollow Ridge,28,49,59,M,4/21/2020
Sachs,60,8,56,M,2/26/2021
Tennessee,92,23,80,M,8/13/2020
South,24,30,29,F,7/30/2020
